,COU,Country,Variable,Year,Value
355,ESP,Spain,Feed-in Tariffs Solar,2008,4.0
356,ESP,Spain,Feed-in Tariffs Solar,2009,5.0
357,ESP,Spain,Feed-in Tariffs Solar,2010,4.0
358,ESP,Spain,Feed-in Tariffs Solar,2011,3.0
359,ESP,Spain,Feed-in Tariffs Solar,2012,3.0
360,PRT,Portugal,Tax Diesel,1990,5.0
361,PRT,Portugal,Tax Diesel,1991,5.0
362,PRT,Portugal,Tax Diesel,1992,6.0
363,PRT,Portugal,Tax Diesel,1993,5.0
364,PRT,Portugal,Tax Diesel,1994,5.0
365,PRT,Portugal,Tax Diesel,1995,6.0
366,PRT,Portugal,Tax Diesel,1996,5.0
367,PRT,Portugal,Tax Diesel,1997,5.0
368,PRT,Portugal,Tax Diesel,1998,6.0
369,PRT,Portugal,Tax Diesel,1999,5.0
370,PRT,Portugal,Tax Diesel,2000,4.0
371,PRT,Portugal,Tax Diesel,2001,4.0
372,PRT,Portugal,Tax Diesel,2002,5.0
373,PRT,Portugal,Tax Diesel,2003,5.0
374,PRT,Portugal,Tax Diesel,2004,5.0
375,PRT,Portugal,Tax Diesel,2005,4.0
376,PRT,Portugal,Tax Diesel,2006,4.0
377,PRT,Portugal,Tax Diesel,2007,4.0
378,PRT,Portugal,Tax Diesel,2008,4.0
379,PRT,Portugal,Tax Diesel,2009,4.0
380,PRT,Portugal,Tax Diesel,2010,4.0
381,PRT,Portugal,Tax Diesel,2011,3.0
382,PRT,Portugal,Tax Diesel,2012,3.0
383,KOR,Korea,Feed-in Tariffs,1990,0.0
384,KOR,Korea,Feed-in Tariffs,1991,0.0
385,KOR,Korea,Feed-in Tariffs,1992,0.0
386,KOR,Korea,Feed-in Tariffs,1993,0.0
387,KOR,Korea,Feed-in Tariffs,1994,0.0
388,KOR,Korea,Feed-in Tariffs,1995,0.0
389,KOR,Korea,Feed-in Tariffs,1996,0.0
390,KOR,Korea,Feed-in Tariffs,1997,0.0
391,KOR,Korea,Feed-in Tariffs,1998,0.0
392,KOR,Korea,Feed-in Tariffs,1999,0.0
393,KOR,Korea,Feed-in Tariffs,2000,0.0
394,KOR,Korea,Feed-in Tariffs,2001,0.0
395,KOR,Korea,Feed-in Tariffs,2002,0.0
396,KOR,Korea,Feed-in Tariffs,2003,5.5
397,KOR,Korea,Feed-in Tariffs,2004,5.5
398,KOR,Korea,Feed-in Tariffs,2005,5.5
399,KOR,Korea,Feed-in Tariffs,2006,5.5
400,KOR,Korea,Feed-in Tariffs,2007,5.5
401,KOR,Korea,Feed-in Tariffs,2008,5.5
402,KOR,Korea,Feed-in Tariffs,2009,5.5
403,KOR,Korea,Feed-in Tariffs,2010,5.5
404,KOR,Korea,Feed-in Tariffs,2011,5.5
405,KOR,Korea,Feed-in Tariffs,2012,0.0
406,KOR,Korea,Feed-in Tariffs,2013,0.0
407,KOR,Korea,Feed-in Tariffs,2014,0.0
408,KOR,Korea,Feed-in Tariffs,2015,0.0
409,SWE,Sweden,Emission limit values PM,1990,0.0
410,SWE,Sweden,Emission limit values PM,1991,0.0
411,SWE,Sweden,Emission limit values PM,1992,0.0
412,SWE,Sweden,Emission limit values PM,1993,0.0
413,SWE,Sweden,Emission limit values PM,1994,0.0
414,SWE,Sweden,Emission limit values PM,1995,0.0
415,SWE,Sweden,Emission limit values PM,1996,0.0
416,SWE,Sweden,Emission limit values PM,1997,0.0
417,SWE,Sweden,Emission limit values PM,1998,0.0
418,SWE,Sweden,Emission limit values PM,1999,0.0
419,SWE,Sweden,Emission limit values PM,2000,1.0
420,SWE,Sweden,Emission limit values PM,2001,1.0
421,SWE,Sweden,Emission limit values PM,2002,2.0
422,SWE,Sweden,Emission limit values PM,2003,2.0
423,SWE,Sweden,Emission limit values PM,2004,2.0
424,SWE,Sweden,Emission limit values PM,2005,2.0
425,SWE,Sweden,Emission limit values PM,2006,2.0
426,SWE,Sweden,Emission limit values PM,2007,2.0
427,SWE,Sweden,Emission limit values PM,2008,2.0
428,SWE,Sweden,Emission limit values PM,2009,2.0
429,SWE,Sweden,Emission limit values PM,2010,2.0
430,SWE,Sweden,Emission limit values PM,2011,2.0
431,SWE,Sweden,Emission limit values PM,2012,2.0
432,SWE,Sweden,Feed-in Tariffs Wind,1990,0.0
433,SWE,Sweden,Feed-in Tariffs Wind,1991,0.0
434,SWE,Sweden,Feed-in Tariffs Wind,1992,0.0
435,SWE,Sweden,Feed-in Tariffs Wind,1993,0.0
436,SWE,Sweden,Feed-in Tariffs Wind,1994,0.0
437,SWE,Sweden,Feed-in Tariffs Wind,1995,0.0
438,SWE,Sweden,Feed-in Tariffs Wind,1996,0.0
439,SWE,Sweden,Feed-in Tariffs Wind,1997,0.0
440,SWE,Sweden,Feed-in Tariffs Wind,1998,0.0
441,SWE,Sweden,Feed-in Tariffs Wind,1999,0.0
442,SWE,Sweden,Feed-in Tariffs Wind,2000,0.0
443,SWE,Sweden,Feed-in Tariffs Wind,2001,0.0
444,SWE,Sweden,Feed-in Tariffs Wind,2002,0.0
445,SWE,Sweden,Feed-in Tariffs Wind,2003,0.0
446,SWE,Sweden,Feed-in Tariffs Wind,2004,0.0
447,SWE,Sweden,Feed-in Tariffs Wind,2005,0.0
448,SWE,Sweden,Feed-in Tariffs Wind,2006,0.0
449,SWE,Sweden,Feed-in Tariffs Wind,2007,0.0
450,SWE,Sweden,Feed-in Tariffs Wind,2008,0.0
451,SWE,Sweden,Feed-in Tariffs Wind,2009,0.0
452,SWE,Sweden,Feed-in Tariffs Wind,2010,0.0
453,SWE,Sweden,Feed-in Tariffs Wind,2011,0.0
454,SWE,Sweden,Feed-in Tariffs Wind,2012,0.0
455,DEU,Germany,Trading Schemes,1990,0.0
456,DEU,Germany,Trading Schemes,1991,0.0
457,DEU,Germany,Trading Schemes,1992,0.0
458,DEU,Germany,Trading Schemes,1993,0.0
459,DEU,Germany,Trading Schemes,1994,0.0
460,DEU,Germany,Trading Schemes,1995,0.0
461,DEU,Germany,Trading Schemes,1996,0.0
