Country,System,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Croatia,Freshwater,500.0,,,,,,,,,,6450.0,200.0,700.0,,400.0,120.0,,,,,,,,
Croatia,Terrestrial,11000.0,,,,,,,,,,6450.0,200.0,700.0,,400.0,120.0,,,,,,,,
Curaçao,Terrestrial,,,803.0,1002.0,828.0,,474.0,,1107.0,,653.0,665.0,,632.0,,,,,,,,,,
Cyprus,Freshwater,2946.0,2020.0,3500.0,6254.0,3331.0,8500.0,4875.0,4000.0,4300.0,2400.0,7800.0,4105.0,7760.0,3050.0,10530.0,10150.0,,,,,,,,
Czech Republic,Terrestrial,,,,,,,,,,,20.0,120.0,,,,,,,,,,,,
Côte D'Ivoire,Terrestrial,56.0,200.0,51.0,45.0,86.0,42529.0,33.0,,22006.0,396.0,438.0,551.0,,,,,,,,,,,,
Denmark,Freshwater,619838.97,994277.0,984373.0,1038125.0,1016358.0,1131932.43,882799.0,675043.6929,826021.556,923614.39,1096774.4896,1082819.7925,972464.0913,162287.1452,213565.1452,264086.2075,207997.90039999998,219468.0,195616.0,121207.0,4806.0,,,
Denmark,Marine,128064.0,994277.0,984373.0,1038125.0,1016358.0,1131932.43,882799.0,675043.6929,826021.556,923614.39,1096774.4896,1082819.7925,972464.0913,162287.1452,213565.1452,264086.2075,207997.90039999998,219468.0,195616.0,121207.0,4806.0,,,
Denmark,Terrestrial,53298.0,994277.0,984373.0,1038125.0,1016358.0,1131932.43,882799.0,675043.6929,826021.556,923614.39,1096774.4896,1082819.7925,972464.0913,162287.1452,213565.1452,264086.2075,207997.90039999998,219468.0,195616.0,121207.0,4806.0,,,
Djibouti,Terrestrial,,,,,,,,,750.0,,,,,,,,,,,,,,,
Dominica,Terrestrial,350.0,,500.0,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,Freshwater,,,10752.0,,,,,200.0,,,,,,,,,,,,,,,,
Dominican Republic,Marine,,,10752.0,,,,,200.0,,,,,,,,,,,,,,,,
Ecuador,Freshwater,,,,1161.0,35331.0,1480.0,1636.0,2252.0,779.0,1366.0,1602.0,36377.0,1783.0,1769.0,,,,51.0,,,,,,
Ecuador,Marine,,,,1161.0,35331.0,1480.0,1636.0,2252.0,779.0,1366.0,1602.0,36377.0,1783.0,1769.0,,,,51.0,,,,,,
Egypt,Freshwater,81189.0,,,,,87.10000000000001,,96.5,,,109.39999999999999,,,,,,,,,,,,,
Egypt,Marine,,,,,,87.10000000000001,,96.5,,,109.39999999999999,,,,,,,,,,,,,
Estonia,Freshwater,12604.0,3168.0,25377.0,13809.0,23943.0,8333.0,10749.0,9646.0,21679.0,18706.0,25457.0,6079.0,14390.0,7452.0,15505.0,19956.0,3806.0,5561.0,4417.0,3602.0,3493.0,3521.0,,
Estonia,Marine,2304.0,3168.0,25377.0,13809.0,23943.0,8333.0,10749.0,9646.0,21679.0,18706.0,25457.0,6079.0,14390.0,7452.0,15505.0,19956.0,3806.0,5561.0,4417.0,3602.0,3493.0,3521.0,,
